Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",113.500000,-48.500000,0.000000,top
"C2","100nF","C_0402_1005Metric",122.000000,-52.000000,-90.000000,top
"C3","100nF","C_0402_1005Metric",119.000000,-60.500000,180.000000,top
"C4","100nF","C_0402_1005Metric",110.000000,-51.500000,90.000000,top
"C5","100nF","C_0402_1005Metric",113.500000,-47.000000,0.000000,top
"C6","10nF","C_0402_1005Metric",110.000000,-56.000000,90.000000,top
"C7","1uF","C_0402_1005Metric",109.000000,-58.500000,180.000000,top
"C8","1uF","C_0402_1005Metric",109.000000,-60.000000,180.000000,top
"C9","100nF","C_0402_1005Metric",114.000000,-60.500000,0.000000,top
"C10","10pF","C_0402_1005Metric",108.000000,-53.500000,90.000000,top
"C11","10pF","C_0402_1005Metric",108.000000,-55.500000,90.000000,top
"C12","22uF","C_0805_2012Metric",125.550000,-57.000000,0.000000,top
"C13","22uF","C_0805_2012Metric",131.050000,-62.500000,90.000000,top
"D1","RED","LED_0603_1608Metric",134.500000,-61.500000,-90.000000,top
"FB1","FerriteBead","L_0603_1608Metric",111.000000,-59.500000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",134.000000,-52.505000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",129.800000,-39.000000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",117.800000,-39.000000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",111.700000,-68.000000,90.000000,top
"R1","10K","R_0402_1005Metric",110.500000,-44.500000,0.000000,top
"R2","1.5K","R_0402_1005Metric",125.000000,-52.500000,-90.000000,top
"R3","1.5K","R_0402_1005Metric",134.500000,-59.000000,180.000000,top
"R4","1.5K","R_0402_1005Metric",114.500000,-63.500000,180.000000,top
"R5","1.5K","R_0402_1005Metric",117.500000,-64.000000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",105.500000,-47.000000,-90.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",116.000000,-54.500000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",126.050000,-62.500000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",105.000000,-56.000000,-90.000000,top
